Kristopher J. Nuttycombe,95035
No Author,86179
Matthew Jason Benson,16924
Gary Gregory,10008
Stephen Colebourne,9378
Niall Kegan Pemberton,5001
Alex Herbert,4341
Stephen Kestle,3197
Thomas Neidhart,2153
aherbert,2058
Morgan James Delagrange,1369
Henri Yandell,836
dota17,411
이종현,373
Sebastian Bazley,303
Stephan Windmüller,226
Jochen Wiedmann,136
Gary D. Gregory,106
Trey Woodlief,93
Prodigysov,63
Sebb,25
Emmanuel Bourg,24
Pengyu Nie,24
Bruno P. Kinoshita,18
Chen,18
Mikko Maunu,14
Dominik Stadler,11
Eitan Adler,9
Maxim Solodovnik,6
